YEAR,MVP,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1987,0,Roy Hinson,77,33.7,15.3,5.9,12.1,48.7,0,0,0,3.5,4.6,77.5,2.1,4.6,6.7,1.3,0.9,1.8,2.2,16.6
1987,0,Sleepy Floyd,77,32.6,15,5.5,12.6,43.3,0.2,0.9,19.4,3.9,4.6,85,1,2.8,3.8,7.1,1.2,0.2,2.9,16.6
1987,0,Terry Porter,82,36.5,14.9,5.6,10.9,51.9,0.3,0.8,34.8,3.3,4,84.6,0.8,3.8,4.6,10.1,1.8,0.2,3,22.9
1987,0,John Stockton,82,34.7,14.7,5.5,9.6,57.4,0.3,0.8,35.8,3.3,4,84,0.7,2.2,2.9,13.8,3,0.2,3.2,26.5
1987,0,Kareem Abdul-Jabbar,80,28.9,14.6,6,11.3,53.2,0,0,0,2.6,3.4,76.2,1.5,4.5,6,1.7,0.6,1.2,2,15.9
1987,0,Michael Cage,72,36.9,14.5,5,10.6,47,0,0,0,4.5,6.6,68.8,5.2,7.9,13,1.5,1.3,0.8,2.2,21.2
1986,0,Michael Jordan,82,40,37.1,13.4,27.8,48.2,0.1,0.8,18.2,10.2,11.9,85.7,2,3.2,5.2,4.6,2.9,1.5,3.3,31.9
1986,0,Dominique Wilkins,79,37.6,29,10.5,22.6,46.3,0.4,1.3,29.2,7.7,9.4,81.8,2.7,3.6,6.3,3.3,1.5,0.6,2.7,24.2
1986,0,Alex English,82,37.6,28.6,11.8,23.4,50.3,0,0.2,26.7,5,5.9,84.4,1.8,2.4,4.2,5.1,0.9,0.3,2.6,23.9
1986,0,Larry Bird,74,40.6,28.1,10.6,20.2,52.5,1.2,3,40,5.6,6.1,91,1.7,7.5,9.2,7.6,1.8,0.9,3.2,34.3
1986,0,Kiki Vandeweghe,79,38.3,26.9,10.2,19.6,52.3,0.5,1,48.1,5.9,6.7,88.6,1.1,2.1,3.2,2.8,0.7,0.2,1.8,21.8
1986,0,Kevin McHale,77,39.7,26.1,10.3,17,60.4,0,0.1,0,5.6,6.6,83.6,3.2,6.7,9.9,2.6,0.5,2.2,2.6,30.9
1986,0,Mark Aguirre,80,33.3,25.7,9.8,19.9,49.5,0.7,1.9,35.3,5.4,7,77,2.3,3.1,5.3,3.2,1.1,0.4,2.7,21.3
1986,0,Dale Ellis,82,37.5,24.9,9.6,18.5,51.6,1,2.9,35.8,4.7,6,78.7,2.3,3.2,5.5,2.9,1.3,0.4,2.9,21.8
1986,0,Moses Malone,73,34.1,24.1,8.2,18,45.4,0,0.2,0,7.8,9.5,82.4,4.7,6.6,11.3,1.6,0.8,1.3,2.8,24.9
1986,1,Magic Johnson,80,36.3,23.9,8.5,16.4,52.2,0.1,0.5,20.5,6.7,7.9,84.8,1.5,4.8,6.3,12.2,1.7,0.5,3.8,31.8
1986,0,Walter Davis,79,33.5,23.6,9.9,19.2,51.4,0.3,1,25.9,3.6,4.2,86.2,1.1,1.9,3.1,4.6,1.2,0.1,2.9,19.8
1986,0,Hakeem Olajuwon,75,36.8,23.4,9,17.8,50.8,0,0.1,20,5.3,7.6,70.2,4.2,7.2,11.4,2.9,1.9,3.4,3,29
1986,0,Tom Chambers,82,36.8,23.3,8,17.6,45.6,0.7,1.8,37.2,6.5,7.7,84.9,2,4.7,6.6,3,1,0.6,3.3,20.5
1986,0,Xavier McDaniel,82,37,23,9.8,19.3,50.9,0,0.2,21.4,3.4,4.8,69.6,4.1,4.5,8.6,2.5,1.4,0.6,2.9,22.4
1986,0,Charles Barkley,68,40.3,23,8.2,13.8,59.4,0.3,1.5,20.2,6.3,8.3,76.1,5.7,8.9,14.6,4.9,1.8,1.5,4.7,33.5
1986,0,Ron Harper,82,37.4,22.9,9,19.7,45.5,0.2,1.1,21.3,4.7,6.9,68.4,2.1,2.7,4.8,4.8,2.5,1,4.2,18.9
1986,0,Larry Nance,69,37.2,22.5,8.5,15.4,55.1,0,0.1,20,5.5,7.1,77.3,2.7,6,8.7,3.4,1.2,2.1,2.2,27.2
1986,0,Jeff Malone,80,34.5,22,8.6,18.9,45.7,0.1,0.3,15.4,4.7,5.3,88.5,0.6,2.1,2.7,3.7,0.9,0.2,2.3,16.4
1986,0,Clyde Drexler,82,38,21.7,8.6,17.2,50.2,0.1,0.6,23.4,4.4,5.7,76,2.8,3.5,6.3,6.9,2.5,0.9,3.1,25.3
1986,0,Karl Malone,82,34.8,21.7,8.9,17.3,51.2,0,0.1,0,3.9,6.6,59.8,3.4,7,10.4,1.9,1.3,0.7,2.9,22
1986,0,Adrian Dantley,81,33.8,21.5,7.4,13.9,53.4,0,0.1,16.7,6.7,8.2,81.2,1.3,2.8,4.1,2,0.8,0.1,2.2,18.2
1986,0,Joe Barry Carroll,81,33.6,21.2,8.5,18,47.2,0,0,0,4.2,5.3,78.7,2.1,5.1,7.3,2.6,1.1,1.5,2.8,20.4
